the	3	7.038674184
of	2	3.34492656
and	3	3.05198515
a	1	2.461208594
in	2	2.072896205
to	2	1.853247052
it	2	1.237660384
is	2	1.136029972
to	2	1.063306755
was	3	1.051129315
I	1	1.010044681
for	3	0.957351646
that	4	0.831707778
you	3	0.791419798
he	2	0.775031468
be*	3	0.756139365
with	4	0.748286623
on	2	0.736905838
by	2	0.579964811
at	2	0.545139608
have*	5	0.538880176
are	3	0.535693556
not	3	0.52647512
this	4	0.526133697
's	2	0.523402308
but	3	0.520898536
had	3	0.506672554
they	4	0.493015612
his	3	0.487666643
from	4	0.470481658
she	3	0.432583643
that	4	0.431559372
which	5	0.423251399
or	2	0.421885705
we	2	0.407204492
's	2	0.397189401
an	2	0.39036093
~n't	4	0.378752529
were	4	0.367257936
as	2	0.342106401
do	2	0.3188896
been	4	0.305687889
their	5	0.296810876
has	3	0.295103759
would	5	0.290323829
there	5	0.28816148
what	4	0.283722973
will	4	0.281105393
all	3	0.277235926
if	2	0.2696108
can	3	0.267903682
her*	4	0.24844254
said	4	0.237516986
who	3	0.233875135
one	3	0.223291004
so	2	0.215438263
up	2	0.204285093
as	2	0.201895128
them	4	0.197229006
some	4	0.194839042
when	4	0.194839042
could	5	0.191538614
him	3	0.187669147
into	4	0.185962029
its	3	0.185734413
then	4	0.181523523
two	3	0.177654056
out	3	0.175491707
time	4	0.175491707
my	2	0.173556973
about	5	0.173443165
did	3	0.163200459
your	4	0.157396258
now	3	0.157282451
me	2	0.155233909
no	2	0.152843944
other	5	0.152047289
only	4	0.147722591
just	4	0.145332626
more	4	0.145105011
these	5	0.142715046
also	4	0.142032199
people	6	0.141235544
know	4	0.140325081
any	3	0.138845579
first	5	0.135772767
see	3	0.134976112
very	4	0.132586147
new	3	0.13030999
may	3	0.129171911
well	4	0.127350986
should	6	0.126554331
her*	4	0.123481519
like	4	0.121091554
than	4	0.11756351
how	3	0.115628777
get	3	0.113238812
way	3	0.109027922
one	3	0.108458882
our	3	0.108117459
made	4	0.107320804
got	3	0.106068917
after	5	0.105499878
think	5	0.104247992
between	7	0.10276849
many	4	0.102654682
years	5	0.102654682
er	2	0.101971835
've	3	0.101402796
those	5	0.101061372
go	2	0.100264717
